store_id,product_id,category,avg_daily_units,avg_on_hand,avg_lead_time,avg_price,forecast_30_day_units,reorder_point,inventory_action
STORE-01,PROD-1000,Grocery,15.5,290.5,5.0,10.52,507,114,Monitor
STORE-01,PROD-1002,Apparel,13.0,131.66666666666666,8.0,79.1,389,158,Reorder
STORE-01,PROD-1003,Grocery,16.0,157.0,10.0,95.92,551,234,Reorder
STORE-01,PROD-1004,Grocery,29.333333333333332,579.6666666666666,7.333333333333333,89.03000000000002,905,288,Monitor
STORE-01,PROD-1005,Household,22.5,303.25,6.75,28.03,692,211,Monitor
STORE-01,PROD-1006,Household,11.0,119.0,7.0,23.28,334,121,Reorder
STORE-01,PROD-1007,Seasonal,4.0,43.333333333333336,5.0,93.24,126,40,Monitor
STORE-01,PROD-1008,Household,3.1666666666666665,35.333333333333336,9.166666666666666,28.100000000000005,97,63,Reorder
STORE-01,PROD-1009,Household,6.0,68.66666666666667,7.0,77.54,194,75,Reorder
STORE-01,PROD-1010,Grocery,12.5,171.5,5.0,132.26,398,96,Monitor
STORE-01,PROD-1011,Household,19.0,295.6666666666667,6.5,54.45000000000001,631,176,Monitor
STORE-01,PROD-1012,Apparel,4.0,100.0,5.0,46.53,137,40,Monitor
STORE-01,PROD-1013,Electronics,8.4,118.6,9.6,445.77,272,134,Reorder
STORE-01,PROD-1014,Household,10.333333333333334,165.66666666666666,8.0,70.98,319,131,Monitor
STORE-01,PROD-1015,Grocery,6.0,107.33333333333333,8.0,63.919999999999995,170,86,Monitor
STORE-01,PROD-1016,Apparel,7.4,112.8,9.2,23.89,234,116,Reorder
STORE-01,PROD-1017,Grocery,5.5,56.75,7.5,83.9,142,76,Reorder
STORE-01,PROD-1018,Grocery,18.0,381.0,10.0,66.12,477,258,Monitor
STORE-01,PROD-1019,Electronics,3.0,28.4,8.8,763.81,101,58,Reorder
STORE-01,PROD-1020,Grocery,7.6,120.6,7.4,141.96,231,95,Monitor
STORE-01,PROD-1021,Household,7.5,138.5,10.0,68.39,227,127,Monitor
STORE-01,PROD-1022,Health,17.6,240.2,6.4,131.08,534,162,Monitor
STORE-01,PROD-1023,Grocery,18.666666666666668,160.0,5.0,69.36,613,133,Monitor
STORE-01,PROD-1024,Seasonal,4.0,68.66666666666667,7.333333333333333,63.62,122,59,Monitor
STORE-01,PROD-1025,Apparel,2.25,43.75,8.5,50.59,72,47,Reorder
STORE-01,PROD-1026,Grocery,6.0,65.0,10.0,33.63,197,108,Reorder
STORE-01,PROD-1027,Grocery,20.0,262.0,3.0,157.47,605,85,Monitor
STORE-01,PROD-1028,Grocery,14.0,190.0,9.5,30.13,435,199,Reorder
STORE-01,PROD-1029,Grocery,14.5,175.5,7.5,57.69,408,162,Monitor
STORE-01,PROD-1030,Health,5.0,52.333333333333336,8.0,91.03000000000002,158,75,Reorder
STORE-01,PROD-1031,Electronics,3.6666666666666665,55.333333333333336,5.666666666666667,225.42,110,43,Monitor
STORE-01,PROD-1032,Grocery,7.5,112.83333333333333,5.0,122.8,220,64,Monitor
STORE-01,PROD-1033,Health,18.0,315.0,7.333333333333333,12.43,523,190,Monitor
STORE-01,PROD-1034,Grocery,7.25,73.5,6.75,39.49,218,84,Reorder
STORE-01,PROD-1035,Apparel,17.2,240.6,6.4,41.46,553,159,Monitor
STORE-01,PROD-1036,Household,18.0,214.0,3.0,129.1,571,78,Monitor
STORE-01,PROD-1037,Household,19.666666666666668,175.33333333333334,6.666666666666667,85.12,610,186,Reorder
STORE-01,PROD-1038,Grocery,12.5,137.0,7.25,108.87,429,139,Reorder
STORE-01,PROD-1039,Apparel,2.6,25.4,7.4,103.98999999999998,83,45,Reorder
STORE-01,PROD-1040,Grocery,20.5,376.0,5.0,127.43,633,144,Monitor
STORE-01,PROD-1041,Grocery,30.333333333333332,463.6666666666667,6.833333333333333,51.74,857,276,Monitor
STORE-01,PROD-1042,Grocery,16.666666666666668,178.33333333333334,6.666666666666667,78.12,487,162,Monitor
STORE-01,PROD-1043,Health,19.0,332.0,7.5,62.02,552,203,Monitor
STORE-01,PROD-1044,Grocery,8.4,83.0,7.2,150.41,261,100,Reorder
STORE-01,PROD-1046,Seasonal,3.5,50.5,4.5,75.64,107,33,Monitor
STORE-01,PROD-1047,Grocery,23.5,284.0,8.5,6.22,774,275,Monitor
STORE-01,PROD-1048,Grocery,16.0,234.2,5.2,107.46,496,122,Monitor
STORE-01,PROD-1049,Household,9.5,134.0,8.5,149.86,320,130,Monitor
STORE-01,PROD-1050,Health,3.6666666666666665,50.666666666666664,7.333333333333333,112.26,122,55,Reorder
STORE-01,PROD-1051,Grocery,6.25,75.25,10.25,55.31,191,114,Reorder
STORE-01,PROD-1052,Grocery,31.2,348.8,10.4,13.9,1097,431,Reorder
STORE-01,PROD-1053,Household,8.5,107.0,7.5,46.68,268,105,Monitor
STORE-01,PROD-1054,Apparel,4.5,49.25,6.25,23.05,155,55,Reorder
STORE-01,PROD-1055,Health,15.0,176.0,7.333333333333333,149.81,449,163,Monitor
STORE-01,PROD-1056,Electronics,7.5,98.25,7.5,487.54,252,96,Monitor
STORE-01,PROD-1057,Apparel,6.0,48.0,12.0,47.34,195,129,Reorder
STORE-01,PROD-1058,Electronics,3.1666666666666665,42.166666666666664,8.833333333333334,494.35999999999996,96,60,Reorder
STORE-01,PROD-1059,Health,9.0,85.0,8.5,16.02,283,125,Reorder
STORE-01,PROD-1060,Electronics,9.666666666666666,120.0,5.0,141.23,291,78,Monitor
STORE-01,PROD-1061,Grocery,33.75,598.75,6.0,135.35,943,266,Monitor
STORE-01,PROD-1062,Seasonal,1.5,11.0,5.0,112.59,51,22,Reorder
STORE-01,PROD-1063,Grocery,15.0,107.6,7.0,41.86,449,155,Reorder
STORE-01,PROD-1064,Household,3.3333333333333335,44.666666666666664,6.0,145.65,107,42,Monitor
STORE-01,PROD-1065,Grocery,7.333333333333333,109.66666666666667,5.166666666666667,62.38,227,65,Monitor
STORE-01,PROD-1066,Grocery,8.5,52.5,8.5,118.83,240,119,Reorder
STORE-01,PROD-1068,Health,3.75,55.5,7.25,113.4,121,56,Reorder
STORE-01,PROD-1069,Apparel,4.5,53.0,6.5,115.03,133,57,Reorder
STORE-01,PROD-1070,Grocery,8.0,99.0,5.0,18.02,260,67,Monitor
STORE-01,PROD-1071,Grocery,7.666666666666667,112.66666666666667,5.0,16.11,221,65,Monitor
STORE-01,PROD-1072,Apparel,15.5,144.5,8.0,157.95,459,182,Reorder
STORE-01,PROD-1073,Grocery,9.5,145.0,8.5,129.04,302,130,Monitor
STORE-01,PROD-1074,Seasonal,3.8,58.2,8.2,82.41,126,63,Reorder
STORE-01,PROD-1075,Household,5.333333333333333,56.666666666666664,5.666666666666667,113.52,170,56,Monitor
STORE-01,PROD-1076,Seasonal,8.333333333333334,148.33333333333334,10.333333333333334,83.26,226,143,Monitor
STORE-01,PROD-1077,Health,17.75,212.25,6.75,27.91,580,172,Monitor
STORE-01,PROD-1078,Electronics,7.25,102.0,6.75,339.81,202,84,Monitor
STORE-01,PROD-1079,Apparel,3.0,27.5,5.0,46.55,95,33,Reorder
STORE-01,PROD-1080,Household,15.0,170.0,8.5,122.88,433,189,Reorder
